Source,Day,Mon,Yr,BluePopulation,LengthFT,Sex,Pregnant,Latitude,Longitude,Maturity,OriginalAge,Age,MinAge,AccurateAge,TotalCorpora,MarkNo
Maeda,14,2,1961,Pygmy,71,F,No,-47,43,Unknown,29,29,Yes,No,NA,
Maeda,14,2,1961,Pygmy,72,M,No,-47,43,Unknown,17,17,No,Yes,NA,
Maeda,14,2,1961,Pygmy,72,M,No,-47,43,Unknown,38,38,No,Yes,NA,
Maeda,15,2,1961,Pygmy,75,F,No,-48,44,Unknown,44,44,No,Yes,NA,
Maeda,3,3,1961,Pygmy,72,F,No,-48,47,Unknown,21,21,No,Yes,NA,
Maeda,3,3,1961,Pygmy,71,M,No,-48,47,Unknown,30,30,Yes,No,NA,
Maeda,3,3,1961,Pygmy,70,M,No,-48,47,Unknown,25,25,No,Yes,NA,
Maeda,3,3,1961,Pygmy,73,M,No,-48,47,Unknown,48,48,No,Yes,NA,
Maeda,3,3,1961,Pygmy,73,M,No,-48,47,Unknown,40,40,No,Yes,NA,
Maeda,3,3,1961,Pygmy,71,M,No,-48,47,Unknown,19,19,No,Yes,NA,
Maeda,3,3,1961,Pygmy,71,M,No,-48,47,Unknown,10,10,Yes,No,NA,
Maeda,3,3,1961,Pygmy,72,F,Yes,-48,47,Mature,47,47,No,Yes,NA,
Maeda,3,3,1961,Pygmy,72,F,No,-48,47,Unknown,31,31,No,Yes,NA,
Maeda,3,3,1961,Pygmy,72,M,No,-48,47,Unknown,17,17,No,Yes,NA,
Maeda,3,3,1961,Pygmy,71,F,Yes,-48,47,Mature,22,22,No,Yes,NA,
Maeda,4,3,1961,Pygmy,75,M,No,-48,48,Unknown,32,32,No,Yes,NA,
Maeda,4,3,1961,Pygmy,72,F,No,-48,48,Unknown,49,49,No,Yes,NA,
Maeda,4,3,1961,Pygmy,70,F,No,-48,48,Unknown,10,10,No,Yes,NA,
Maeda,4,3,1961,Pygmy,70,M,No,-48,48,Unknown,20,20,No,Yes,NA,
Maeda,4,3,1961,Pygmy,73,F,Yes,-48,48,Mature,20,20,Yes,No,NA,
